city_st,place_name,state_name,state_abbrev,population,state_fips,place_fips,NAME,place_name_raw
"Alabaster, AL",Alabaster,Alabama,AL,33633,01,00820,"Alabaster city, Alabama",Alabaster city
"Albertville, AL",Albertville,Alabama,AL,22584,01,00988,"Albertville city, Alabama",Albertville city
"Anniston, AL",Anniston,Alabama,AL,21377,01,01852,"Anniston city, Alabama",Anniston city
"Athens, AL",Athens,Alabama,AL,27474,01,02956,"Athens city, Alabama",Athens city
"Auburn, AL",Auburn,Alabama,AL,78738,01,03076,"Auburn city, Alabama",Auburn city
"Bessemer, AL",Bessemer,Alabama,AL,25655,01,05980,"Bessemer city, Alabama",Bessemer city
"Birmingham, AL",Birmingham,Alabama,AL,199322,01,07000,"Birmingham city, Alabama",Birmingham city
"Daphne, AL",Daphne,Alabama,AL,28673,01,19648,"Daphne city, Alabama",Daphne city
"Decatur, AL",Decatur,Alabama,AL,57760,01,20104,"Decatur city, Alabama",Decatur city
"Dothan, AL",Dothan,Alabama,AL,71118,01,21184,"Dothan city, Alabama",Dothan city
"Enterprise, AL",Enterprise,Alabama,AL,28990,01,24184,"Enterprise city, Alabama",Enterprise city
"Fairhope, AL",Fairhope,Alabama,AL,23360,01,25240,"Fairhope city, Alabama",Fairhope city
"Florence, AL",Florence,Alabama,AL,41231,01,26896,"Florence city, Alabama",Florence city
"Foley, AL",Foley,Alabama,AL,22330,01,26992,"Foley city, Alabama",Foley city
"Gadsden, AL",Gadsden,Alabama,AL,33617,01,28696,"Gadsden city, Alabama",Gadsden city
"Helena, AL",Helena,Alabama,AL,21452,01,34024,"Helena city, Alabama",Helena city
"Homewood, AL",Homewood,Alabama,AL,27697,01,35800,"Homewood city, Alabama",Homewood city
"Hoover, AL",Hoover,Alabama,AL,92401,01,35896,"Hoover city, Alabama",Hoover city
"Huntsville, AL",Huntsville,Alabama,AL,218814,01,37000,"Huntsville city, Alabama",Huntsville city
"Madison, AL",Madison,Alabama,AL,58335,01,45784,"Madison city, Alabama",Madison city
"Mobile, AL",Mobile,Alabama,AL,185097,01,50000,"Mobile city, Alabama",Mobile city
"Montgomery, AL",Montgomery,Alabama,AL,198440,01,51000,"Montgomery city, Alabama",Montgomery city
"Mountain Brook, AL",Mountain Brook,Alabama,AL,22160,01,51696,"Mountain Brook city, Alabama",Mountain Brook city
"Northport, AL",Northport,Alabama,AL,30991,01,55200,"Northport city, Alabama",Northport city
"Opelika, AL",Opelika,Alabama,AL,31944,01,57048,"Opelika city, Alabama",Opelika city
"Oxford, AL",Oxford,Alabama,AL,22063,01,57576,"Oxford city, Alabama",Oxford city
"Pelham, AL",Pelham,Alabama,AL,24510,01,58848,"Pelham city, Alabama",Pelham city
"Phenix, AL",Phenix,Alabama,AL,38477,01,59472,"Phenix City city, Alabama",Phenix City city
"Prattville, AL",Prattville,Alabama,AL,38850,01,62328,"Prattville city, Alabama",Prattville city
"Trussville, AL",Trussville,Alabama,AL,26182,01,76944,"Trussville city, Alabama",Trussville city
"Tuscaloosa, AL",Tuscaloosa,Alabama,AL,107699,01,77256,"Tuscaloosa city, Alabama",Tuscaloosa city
"Vestavia Hills, AL",Vestavia Hills,Alabama,AL,38704,01,78552,"Vestavia Hills city, Alabama",Vestavia Hills city
